ngt,0226F
NotLessEqual,02270
nleq,02270
nle,02270
NotGreaterEqual,02271
ngeq,02271
nge,02271
LessTilde,02272
lesssim,02272
lsim,02272
gtrsim,02273
GreaterTilde,02273
gsim,02273
NotLessTilde,02274
nlsim,02274
NotGreaterTilde,02275
ngsim,02275
lessgtr,02276
LessGreater,02276
lg,02276
gtrless,02277
GreaterLess,02277
gl,02277
NotLessGreater,02278
ntlg,02278
NotGreaterLess,02279
ntgl,02279
Precedes,0227A
prec,0227A
pr,0227A
Succeeds,0227B
succ,0227B
sc,0227B
PrecedesSlantEqual,0227C
preccurlyeq,0227C
prcue,0227C
SucceedsSlantEqual,0227D
succcurlyeq,0227D
sccue,0227D
precsim,0227E
PrecedesTilde,0227E
prsim,0227E
succsim,0227F
SucceedsTilde,0227F
scsim,0227F
nprec,02280
NotPrecedes,02280
npr,02280
nsucc,02281
NotSucceeds,02281
nsc,02281
subset,02282
sub,02282
supset,02283
Superset,02283
sup,02283
nsub,02284
nsup,02285
SubsetEqual,02286
subseteq,02286
sube,02286
supseteq,02287
SupersetEqual,02287
supe,02287
nsubseteq,02288
NotSubsetEqual,02288
nsube,02288
nsupseteq,02289
NotSupersetEqual,02289
nsupe,02289
subsetneq,0228A
subne,0228A
supsetneq,0228B
supne,0228B
cupdot,0228D
UnionPlus,0228E
uplus,0228E
SquareSubset,0228F
sqsubset,0228F
sqsub,0228F
SquareSuperset,02290
sqsupset,02290
sqsup,02290
SquareSubsetEqual,02291
sqsubseteq,02291
sqsube,02291
SquareSupersetEqual,02292
sqsupseteq,02292
sqsupe,02292
SquareIntersection,02293
sqcap,02293
SquareUnion,02294
sqcup,02294
CirclePlus,02295
oplus,02295
CircleMinus,02296
ominus,02296
CircleTimes,02297
otimes,02297
osol,02298
CircleDot,02299
odot,02299
circledcirc,0229A
ocir,0229A
circledast,0229B
oast,0229B
circleddash,0229D
odash,0229D
boxplus,0229E
plusb,0229E
boxminus,0229F
minusb,0229F
